TRI_FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,CHEMICAL
32501RCHHL407SO,REICHHOLD INC,425 S PACE BLVD,PENSACOLA,ESCAMBIA,FL,32502,30.407231,-87.241979,ETHYLENE GLYCOL
32501RCHHL407SO,REICHHOLD INC,425 S PACE BLVD,PENSACOLA,ESCAMBIA,FL,32502,30.407231,-87.241979,PHTHALIC ANHYDRIDE
32501RCHHL407SO,REICHHOLD INC,425 S PACE BLVD,PENSACOLA,ESCAMBIA,FL,32502,30.407231,-87.241979,"2,2-BIS(BROMOMETHYL)-1,3-PROPANEDIOL"
33619TRDMR1216O,TRADEMARK NITROGEN CORP,1216 OLD HOPEWELL RD,TAMPA,HILLSBOROUGH,FL,33619,27.954196,-82.348227,NITRIC ACID
33619TRDMR1216O,TRADEMARK NITROGEN CORP,1216 OLD HOPEWELL RD,TAMPA,HILLSBOROUGH,FL,33619,27.954196,-82.348227,MANGANESE
3383WRGNSP39USH,ERGON ASPHALT & EMULSIONS INC - BARTOW,3900 US HWY 17 N,BARTOW,POLK,FL,33830,27.94863,-81.79185,POLYCYCLIC AROMATIC COMPOUNDS
32780CPCNV6000U,CAPE CANAVERAL POWER PLANT,6000 US 1,COCOA,BREVARD,FL,32927,28.468103,-80.767385,"BENZO(G,H,I)PERYLENE"
32780CPCNV6000U,CAPE CANAVERAL POWER PLANT,6000 US 1,COCOA,BREVARD,FL,32927,28.468103,-80.767385,POLYCYCLIC AROMATIC COMPOUNDS
33773NTRPD11700,INTREPID POWERBOATS INC,11700 S BELCHER RD,LARGO,PINELLAS,FL,33773,27.878528,-82.746732,STYRENE
32091DPNTCSTATE,DUPONT CHEMICALS - STARKE FACILITY,STATE RD 230 E,STARKE,CLAY,FL,32091,29.92338,-82.06255,MANGANESE COMPOUNDS
32602PCRNC5002S,SIVANCE LLC,5002 NE 54TH PL,GAINESVILLE,ALACHUA,FL,326091679,29.705833,-82.265831,N-HEXANE
32602PCRNC5002S,SIVANCE LLC,5002 NE 54TH PL,GAINESVILLE,ALACHUA,FL,326091679,29.705833,-82.265831,"N,N-DIMETHYLFORMAMIDE"
33316MCLC01180S,BP PRODUCTS NA INC PORT EVERGLADES TERMINAL,1180 SPANGLER BLVD,FORT LAUDERDALE,BROWARD,FL,33316,26.092545,-80.129798,"1,2,4-TRIMETHYLBENZENE"
33411PBLXD777SW,PUBLIX DEERFIELD BEACH FACILITY,777 SW 12TH AVE,DEERFIELD BEACH,BROWARD,FL,33442,26.3075,-80.124167,NITRIC ACID
33407PRCSP2656E,PRECIOUS PLATE FLORIDA,2656 ELECTRONICS WAY,WEST PALM BEACH,PALM BEACH,FL,33407,26.739052,-80.0653,NICKEL
32824PBSCH250CE,BRENNTAG MID-SOUTH INC,250 CENTRAL FLORIDA PKWY,ORLANDO,ORANGE,FL,32824,28.40725,-81.379042,METHANOL
32798CHMCL6429W,CHEMICAL SYSTEMS OF ORLANDO INC,6429 W JONES AVE,ZELLWOOD,ORANGE,FL,32798,28.732284,-81.615538,NITRIC ACID
34956MRTNPSR710,MARTIN POWER PLANT,21900 SW WARFIELD BLVD,INDIANTOWN,MARTIN,FL,34956,27.0536,-80.5628,"BENZO(G,H,I)PERYLENE"
33178SFTYK8755N,SAFETY-KLEEN SYSTEMS (309702),8755 NW 95TH ST,MEDLEY,MIAMI-DADE,FL,33178,25.860432,-80.340403,"BENZO(G,H,I)PERYLENE"
33316PRTVR1400S,CHEVRON PORT EVERGLADES TERMINAL,1400 SE 24TH ST,FORT LAUDERDALE,BROWARD,FL,33316,26.092342,-80.128412,N-HEXANE
32254PPRSN155EL,UNIVAR USA INC JACKSONVILLE FA CILITY,155 ELLIS RD S,JACKSONVILLE,DUVAL,FL,322543546,30.323803,-81.742299,METHANOL
32254PPRSN155EL,UNIVAR USA INC JACKSONVILLE FA CILITY,155 ELLIS RD S,JACKSONVILLE,DUVAL,FL,322543546,30.323803,-81.742299,NITRIC ACID
32177SMNLGUSHWY,SEMINOLE GENERATING STATION,890 N US HWY 17,PALATKA,PUTNAM,FL,321770000,29.733333,-81.633333,DIOXIN AND DIOXIN-LIKE COMPOUNDS
32177SMNLGUSHWY,SEMINOLE GENERATING STATION,890 N US HWY 17,PALATKA,PUTNAM,FL,321770000,29.733333,-81.633333,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)
32177SMNLGUSHWY,SEMINOLE GENERATING STATION,890 N US HWY 17,PALATKA,PUTNAM,FL,321770000,29.733333,-81.633333,VANADIUM COMPOUNDS
32177SMNLGUSHWY,SEMINOLE GENERATING STATION,890 N US HWY 17,PALATKA,PUTNAM,FL,321770000,29.733333,-81.633333,LEAD COMPOUNDS
32177SMNLGUSHWY,SEMINOLE GENERATING STATION,890 N US HWY 17,PALATKA,PUTNAM,FL,321770000,29.733333,-81.633333,NAPHTHALENE
32177SMNLGUSHWY,SEMINOLE GENERATING STATION,890 N US HWY 17,PALATKA,PUTNAM,FL,321770000,29.733333,-81.633333,MERCURY COMPOUNDS
32221SFTMR13575,SAFT AMERICA,13575 WATERWORKS ST,JACKSONVILLE,DUVAL,FL,32221,30.27222,-81.89052,COPPER
33482TRPCN6500G,TROPICANA MANUFACTURING CO INC,6500 GLADES CUT OFF RD,FORT PIERCE,ST LUCIE,FL,34981,27.37692,-80.38982,NITRIC ACID
